iter	Logloss
0	0.6486573623
1	0.6200755906
2	0.5903394613
3	0.5601835376
4	0.5346974227
5	0.5133362557
6	0.4978791903
7	0.4774909604
8	0.463215275
9	0.4460718262
10	0.4334586201
11	0.420094551
12	0.4113199031
